date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:58	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Mar%202021%2011:46:58%20GMT	http://web.archive.org/robots.txt		(from )
16:47:00	99236/99236	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Mar%202021%2011:46:59%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/index.html	(from )
16:47:01	14615/14615	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225fea3802-3917%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/Users/Haris%20Butt/Desktop/webachive/archive.org/includes/analytics2a5b.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:01	27869/27869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1612982073-27869-1133250299%22	http://web.archive.org/_static/js/playback.bundle.js?v=bQvHU8mx	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/js/playback.bundle2a46.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:02	9317/9317	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1612981979-9317-1017513663%22	http://web.archive.org/_static/css/banner-styles.css?v=bsmaklHF	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/css/banner-styles7a0e.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:03	5825/5825	---MCZ	200	added ('OK')	text/css	etag:W/%22wzsdm-1612982047-5825-715654559%22	http://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/css/iconochive8307.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:03%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:03	116497/116497	---MCZ	200	added ('OK')	application/javascript	etag:W/%22wzsdm-1612982105-116497-310182806%22	http://web.archive.org/_static/js/wombat.js?v=cRqOKCOw	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/_static/js/wombat1b09.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:03	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:03%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/feed/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/feed/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:04	2363/2363	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:03%20GMT	http://web.archive.org/web/20181207030601cs_/http://richlegacy.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181207030601cs_/http_/richlegacy.com/wp-content/plugins/contact-form-7/includes/css/styles972f.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:03%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/comments/feed/	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/comments/feed/index.html	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:04	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:04%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/plugins/optin-forms/css/optinforms.css?ver=1.2.8.5	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/plugins/optin-forms/css/optinformsf341.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:04	15521/15521	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:04%20GMT	http://web.archive.org/web/20181201144127cs_/http://richlegacy.com/wp-content/plugins/optin-forms/css/optinforms.css?ver=1.2.8.5	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201144127cs_/http_/richlegacy.com/wp-content/plugins/optin-forms/css/optinformsf341.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:05	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:04%20GMT	http://web.archive.org/web/20191020174601cs_/https://checkout.stripe.com/v3/checkout/button.css	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/https_/checkout.stripe.com/v3/checkout/button.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:05	4355/4355	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:05%20GMT	http://web.archive.org/web/20191020180945cs_/https://checkout.stripe.com/v3/checkout/button.css	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020180945cs_/https_/checkout.stripe.com/v3/checkout/button.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:05%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/plugins/stripe/assets/css/public.min.css?ver=2.0.9	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/plugins/stripe/assets/css/public.minffdc.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:06	1942/1942	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:06%20GMT	http://web.archive.org/web/20181204194846cs_/http://richlegacy.com/wp-content/plugins/stripe/assets/css/public.min.css?ver=2.0.9	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181204194846cs_/http_/richlegacy.com/wp-content/plugins/stripe/assets/css/public.minffdc.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:06%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/themes/Avada/assets/css/style.min.css?ver=5.5.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/themes/Avada/assets/css/style.mind03b.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:09	204649/204649	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:07%20GMT	http://web.archive.org/web/20181202095413cs_/http://richlegacy.com/wp-content/themes/Avada/assets/css/style.min.css?ver=5.5.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181202095413cs_/http_/richlegacy.com/wp-content/themes/Avada/assets/css/style.mind03b.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:07%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/themes/Avada-Child-Theme/style.css?ver=4.9.6	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/themes/Avada-Child-Theme/style1845.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:09	785/785	---M--	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:09%20GMT	http://web.archive.org/web/20181201155608cs_/http://richlegacy.com/wp-content/themes/Avada-Child-Theme/style.css?ver=4.9.6	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201155608cs_/http_/richlegacy.com/wp-content/themes/Avada-Child-Theme/style1845.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:09%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/plugins/stripe/includes/old/assets/css/shared-public-main.min.css?ver=1.6.0	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/plugins/stripe/includes/old/assets/css/shared-public-main.minaff7.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:10	1007/1007	---MCZ	200	added ('OK')	text/css	date:Sat,%2027%20Mar%202021%2011:47:10%20GMT	http://web.archive.org/web/20181202081948cs_/http://richlegacy.com/wp-content/plugins/stripe/includes/old/assets/css/shared-public-main.min.css?ver=1.6.0	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181202081948cs_/http_/richlegacy.com/wp-content/plugins/stripe/includes/old/assets/css/shared-public-main.minaff7.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:11	94248/94248	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2027%20Mar%202021%2011:47:10%20GMT	http://web.archive.org/web/20191020174601cs_/http://richlegacy.com/wp-content/uploads/fusion-styles/fusion-8.min.css?timestamp=1571364522&ver=4.9.6	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601cs_/http_/richlegacy.com/wp-content/uploads/fusion-styles/fusion-8.mindb1e.css	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:11%20GMT	http://web.archive.org/web/20191020174601js_/http://richlegacy.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601js_/http_/richlegacy.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:12%20GMT	http://web.archive.org/web/20191020174601js_/http://richlegacy.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601js_/http_/richlegacy.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:13	98549/98549	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Mar%202021%2011:47:12%20GMT	http://web.archive.org/web/20181205025858js_/http://richlegacy.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181205025858js_/http_/richlegacy.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:13	11422/11422	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Mar%202021%2011:47:13%20GMT	http://web.archive.org/web/20181201232436js_/http://richlegacy.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201232436js_/http_/richlegacy.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:13%20GMT	http://web.archive.org/web/20191020174601js_/http://richlegacy.com/wp-content/plugins/optin-forms/js/placeholder.js?ver=1.2.8.5	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601js_/http_/richlegacy.com/wp-content/plugins/optin-forms/js/placeholderf341.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:14	5727/5727	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Mar%202021%2011:47:14%20GMT	http://web.archive.org/web/20181201144124js_/http://richlegacy.com/wp-content/plugins/optin-forms/js/placeholder.js?ver=1.2.8.5	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181201144124js_/http_/richlegacy.com/wp-content/plugins/optin-forms/js/placeholderf341.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:14%20GMT	http://web.archive.org/web/20191020174601js_/http://richlegacy.com/wp-content/plugins/pixelyoursite/js/public.js?ver=5.3.0	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601js_/http_/richlegacy.com/wp-content/plugins/pixelyoursite/js/public9a8d.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:15	7023/7023	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2027%20Mar%202021%2011:47:14%20GMT	http://web.archive.org/web/20181203135935js_/http://richlegacy.com/wp-content/plugins/pixelyoursite/js/public.js?ver=5.3.0	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20181203135935js_/http_/richlegacy.com/wp-content/plugins/pixelyoursite/js/public9a8d.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:15%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Frichlegacy.com%2F	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/wp-json/oembed/1.0/embed43ff	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:16%20GMT	http://web.archive.org/web/20191020174601/http://richlegacy.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Frichlegacy.com%2F&format=xml	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/http_/richlegacy.com/wp-json/oembed/1.0/embed5de4	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
16:47:17	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2027%20Mar%202021%2011:47:17%20GMT	http://web.archive.org/web/20191020174601/https://connect.facebook.net/en_US/fbevents.js	C:/Users/Haris%20Butt/Desktop/webachive/web.archive.org/web/20191020174601/https_/connect.facebook.net/en_US/fbevents.js	(from http://web.archive.org/web/20191020174601/http://richlegacy.com/)
